rule,premise,conclusion,support,confidence,lift,avg_distance_norm,avg_cardinality,score,premise_count,conclusion_count,co_occurrences
video_shop → florist,video_shop,florist,0.5,0.05,4.18,0.717,0.5,0.016,8,953,4
market_place → shoe_shop,market_place,shoe_shop,0.343,0.081,3.84,0.843,0.81,0.016,140,710,113
department_store → mobile_phone_shop,department_store,mobile_phone_shop,0.358,0.075,7.8,0.808,0.75,0.016,176,365,132
fast_food → bakery,fast_food,bakery,0.409,0.065,1.58,0.793,0.65,0.016,2688,2065,1742
department_store → beauty_shop,department_store,beauty_shop,0.341,0.08,2.16,0.834,0.8,0.0159,176,1258,141
bookshop → kiosk,bookshop,kiosk,0.413,0.064,2.84,0.804,0.64,0.0157,436,1156,277
chemist → optician,chemist,optician,0.379,0.068,3.88,0.787,0.68,0.0156,359,776,244
gift_shop → shoe_shop,gift_shop,shoe_shop,0.337,0.079,3.77,0.834,0.79,0.0156,496,710,394
shoe_shop → kiosk,shoe_shop,kiosk,0.42,0.062,2.89,0.796,0.62,0.0156,710,1156,438
cinema → optician,cinema,optician,0.389,0.068,3.99,0.847,0.68,0.0153,234,776,160
hairdresser → bakery,hairdresser,bakery,0.421,0.06,1.62,0.797,0.6,0.0152,4634,2065,2776
bookshop → florist,bookshop,florist,0.436,0.058,3.64,0.802,0.58,0.015,436,953,251
jeweller → pub,jeweller,pub,0.365,0.07,4.0,0.836,0.7,0.0149,842,725,592
optician → kiosk,optician,kiosk,0.418,0.059,2.87,0.792,0.59,0.0148,776,1156,454
cinema → jeweller,cinema,jeweller,0.329,0.078,3.11,0.853,0.78,0.0148,234,842,183
market_place → beauty_shop,market_place,beauty_shop,0.407,0.063,2.58,0.844,0.63,0.0148,140,1258,88
bookshop → travel_agent,bookshop,travel_agent,0.394,0.064,6.82,0.829,0.64,0.0147,436,460,277
clothes → gift_shop,clothes,gift_shop,0.363,0.068,5.82,0.818,0.68,0.0147,3601,496,2462
optician → travel_agent,optician,travel_agent,0.393,0.062,6.8,0.802,0.62,0.0147,776,460,485
hairdresser → pharmacy,hairdresser,pharmacy,0.41,0.059,2.05,0.801,0.59,0.0145,4634,1593,2734
travel_agent → mobile_phone_shop,travel_agent,mobile_phone_shop,0.348,0.07,7.58,0.817,0.7,0.0145,460,365,324
travel_agent → florist,travel_agent,florist,0.424,0.057,3.54,0.808,0.57,0.0145,460,953,264
optician → mobile_phone_shop,optician,mobile_phone_shop,0.349,0.069,7.61,0.803,0.69,0.0143,776,365,532
cafe → pharmacy,cafe,pharmacy,0.386,0.061,1.93,0.804,0.61,0.0141,3316,1593,2025
shoe_shop → sports_shop,shoe_shop,sports_shop,0.394,0.059,3.62,0.787,0.59,0.014,710,868,417
beauty_shop → optician,beauty_shop,optician,0.359,0.066,3.68,0.821,0.66,0.014,1258,776,834
clothes → sports_shop,clothes,sports_shop,0.385,0.061,3.53,0.813,0.61,0.0139,3601,868,2192
florist → pharmacy,florist,pharmacy,0.407,0.057,2.03,0.796,0.57,0.0139,953,1593,541
florist → bakery,florist,bakery,0.397,0.058,1.53,0.793,0.58,0.0138,953,2065,548
newsagent → jeweller,newsagent,jeweller,0.331,0.07,3.12,0.824,0.7,0.0137,239,842,168
stationery → travel_agent,stationery,travel_agent,0.382,0.061,6.6,0.825,0.61,0.0137,249,460,152
travel_agent → bookshop,travel_agent,bookshop,0.385,0.06,7.02,0.827,0.6,0.0136,460,436,277
outdoor_shop → sports_shop,outdoor_shop,sports_shop,0.348,0.065,3.19,0.798,0.65,0.0135,141,868,91
gift_shop → pharmacy,gift_shop,pharmacy,0.389,0.057,1.94,0.793,0.57,0.0134,496,1593,284
bookshop → mobile_phone_shop,bookshop,mobile_phone_shop,0.337,0.068,7.35,0.828,0.68,0.0134,436,365,296
taxi → kiosk,taxi,kiosk,0.386,0.053,2.66,0.752,0.53,0.0129,202,1156,108
bus_station → railway_station,bus_station,railway_station,0.436,0.045,2.83,0.75,0.45,0.0124,55,1226,25
dentist → pharmacy,dentist,pharmacy,0.381,0.055,1.91,0.822,0.55,0.0123,645,1593,352
stationery → florist,stationery,florist,0.402,0.052,3.35,0.817,0.52,0.0123,249,953,129
computer_shop → pharmacy,computer_shop,pharmacy,0.379,0.055,1.89,0.817,0.55,0.0122,214,1593,117
chemist → shoe_shop,chemist,shoe_shop,0.306,0.067,3.43,0.812,0.67,0.0122,359,710,241
newsagent → shoe_shop,newsagent,shoe_shop,0.335,0.061,3.75,0.829,0.61,0.012,239,710,146
bar → pharmacy,bar,pharmacy,0.366,0.057,1.83,0.837,0.57,0.012,2240,1593,1267
dentist → beauty_shop,dentist,beauty_shop,0.327,0.062,2.07,0.829,0.62,0.0119,645,1258,401
pub → pharmacy,pub,pharmacy,0.372,0.054,1.86,0.835,0.54,0.0118,725,1593,395
stationery → bookshop,stationery,bookshop,0.349,0.057,6.38,0.828,0.57,0.0117,249,436,142
bakery → pharmacy,bakery,pharmacy,0.366,0.053,1.83,0.806,0.53,0.0116,2065,1593,1094
cinema → shoe_shop,cinema,shoe_shop,0.321,0.064,3.59,0.865,0.64,0.0116,234,710,149
mobile_phone_shop → sports_shop,mobile_phone_shop,sports_shop,0.389,0.05,3.57,0.817,0.5,0.0115,365,868,183
outdoor_shop → pharmacy,outdoor_shop,pharmacy,0.362,0.055,1.81,0.847,0.55,0.0115,141,1593,78
pharmacy → optician,pharmacy,optician,0.328,0.059,3.37,0.818,0.59,0.0113,1593,776,932
clothes → pub,clothes,pub,0.322,0.061,3.53,0.854,0.61,0.0112,3601,725,2195
jeweller → sports_shop,jeweller,sports_shop,0.36,0.054,3.3,0.84,0.54,0.0112,842,868,453
laundry → kiosk,laundry,kiosk,0.364,0.052,2.51,0.82,0.52,0.0112,428,1156,222
mobile_phone_shop → dentist,mobile_phone_shop,dentist,0.351,0.055,4.33,0.838,0.55,0.0112,365,645,201
supermarket → pharmacy,supermarket,pharmacy,0.372,0.049,1.86,0.785,0.49,0.0111,3462,1593,1696
bookshop → gift_shop,bookshop,gift_shop,0.312,0.062,5.0,0.851,0.62,0.0111,436,496,271
university → bicycle_rental,university,bicycle_rental,0.36,0.05,3.11,0.805,0.5,0.0107,111,923,55
video_shop → bicycle_rental,video_shop,bicycle_rental,0.375,0.05,3.23,0.862,0.5,0.0107,8,923,4
