rule,premise,conclusion,support,confidence,lift,avg_distance_norm,avg_cardinality,score,premise_count,conclusion_count,co_occurrences
newsagent → attraction,newsagent,attraction,0.033,0.004,0.22,0.985,0.04,0.0001,239,1231,9
optician → sports_centre,optician,sports_centre,0.039,0.004,0.39,0.987,0.04,0.0001,776,779,32
laundry → town_hall,laundry,town_hall,0.035,0.004,0.49,0.987,0.04,0.0001,428,574,16
newsagent → kindergarten,newsagent,kindergarten,0.05,0.005,0.3,0.987,0.05,0.0001,239,1337,13
chemist → mall,chemist,mall,0.028,0.005,2.79,0.982,0.05,0.0001,359,43,18
newsagent → memorial,newsagent,memorial,0.033,0.004,0.24,0.983,0.04,0.0001,239,1102,9
chemist → attraction,chemist,attraction,0.033,0.003,0.22,0.987,0.03,0.0001,359,1231,12
christian_methodist → hostel,christian_methodist,hostel,0.053,0.005,2.25,0.994,0.05,0.0001,19,186,1
christian_methodist → playground,christian_methodist,playground,0.053,0.005,0.1,0.964,0.05,0.0001,19,4069,1
christian_methodist → furniture_shop,christian_methodist,furniture_shop,0.053,0.005,0.75,0.999,0.05,0.0001,19,562,1
laundry → market_place,laundry,market_place,0.047,0.006,2.66,0.984,0.06,0.0001,428,140,24
christian_methodist → cinema,christian_methodist,cinema,0.053,0.005,1.79,0.994,0.05,0.0001,19,234,1
christian_methodist → market_place,christian_methodist,market_place,0.053,0.005,2.99,0.998,0.05,0.0001,19,140,1
laundry → nightclub,laundry,nightclub,0.04,0.005,1.17,0.989,0.05,0.0001,428,271,20
newsagent → bus_station,newsagent,bus_station,0.042,0.004,4.18,0.982,0.04,0.0001,239,55,10
computer_shop → attraction,computer_shop,attraction,0.033,0.004,0.21,0.991,0.04,0.0001,214,1231,8
garden_centre → town_hall,garden_centre,town_hall,0.026,0.004,0.36,0.994,0.04,0.0001,153,574,6
swimming_pool → beauty_shop,swimming_pool,beauty_shop,0.035,0.004,0.22,0.983,0.04,0.0001,143,1258,6
computer_shop → greengrocer,computer_shop,greengrocer,0.033,0.003,2.74,0.987,0.03,0.0001,214,95,7
archaeological → hotel,archaeological,hotel,0.032,0.004,0.1,0.985,0.04,0.0001,441,2489,18
garden_centre → jeweller,garden_centre,jeweller,0.046,0.006,0.43,0.981,0.06,0.0001,153,842,9
bus_stop → jeweller,bus_stop,jeweller,0.025,0.004,0.23,0.99,0.04,0.0001,36434,842,1552
fast_food → viewpoint,fast_food,viewpoint,0.038,0.005,0.07,0.988,0.05,0.0001,2688,4066,137
bus_stop → shoe_shop,bus_stop,shoe_shop,0.025,0.004,0.28,0.99,0.04,0.0001,36434,710,1447
archaeological → fast_food,archaeological,fast_food,0.027,0.007,0.08,0.988,0.07,0.0001,441,2688,33
monument → ferry_terminal,monument,ferry_terminal,0.03,0.004,0.51,0.986,0.04,0.0001,233,471,10
monument → pub,monument,pub,0.03,0.003,0.33,0.989,0.03,0.0001,233,725,8
monument → beauty_shop,monument,beauty_shop,0.03,0.004,0.19,0.994,0.04,0.0001,233,1258,9
optician → viewpoint,optician,viewpoint,0.04,0.005,0.08,0.985,0.05,0.0001,776,4066,38
newsagent → community_centre,newsagent,community_centre,0.05,0.005,0.97,0.989,0.05,0.0001,239,410,12
computer_shop → veterinary,computer_shop,veterinary,0.051,0.006,1.28,0.981,0.06,0.0001,214,320,12
biergarten → veterinary,biergarten,veterinary,0.035,0.004,0.87,0.977,0.04,0.0001,57,320,2
bicycle_shop → beverages,bicycle_shop,beverages,0.049,0.005,0.91,0.981,0.05,0.0001,1276,430,68
biergarten → theatre,biergarten,theatre,0.035,0.004,0.81,0.991,0.04,0.0001,57,346,2
bicycle_shop → toy_shop,bicycle_shop,toy_shop,0.032,0.004,1.17,0.986,0.04,0.0001,1276,218,45
tower → bakery,tower,bakery,0.03,0.004,0.12,0.99,0.04,0.0001,558,2065,21
butcher → newsagent,butcher,newsagent,0.036,0.004,1.2,0.986,0.04,0.0001,724,239,26
railway_halt → beauty_shop,railway_halt,beauty_shop,0.04,0.005,0.25,0.984,0.05,0.0001,726,1258,38
memorial → mobile_phone_shop,memorial,mobile_phone_shop,0.028,0.004,0.61,0.992,0.04,0.0001,1102,365,48
memorial → dentist,memorial,dentist,0.04,0.005,0.49,0.987,0.05,0.0001,1102,645,52
tower → pharmacy,tower,pharmacy,0.043,0.006,0.21,0.983,0.06,0.0001,558,1593,31
memorial → furniture_shop,memorial,furniture_shop,0.024,0.004,0.33,0.99,0.04,0.0001,1102,562,47
camp_site → pitch,camp_site,pitch,0.04,0.007,0.04,0.982,0.07,0.0001,101,7084,7
tower → library,tower,library,0.032,0.004,0.24,0.986,0.04,0.0001,558,1072,22
bicycle_shop → cinema,bicycle_shop,cinema,0.04,0.004,1.36,0.986,0.04,0.0001,1276,234,56
memorial → butcher,memorial,butcher,0.047,0.005,0.52,0.985,0.05,0.0001,1102,724,56
bench → attraction,bench,attraction,0.027,0.006,0.18,0.988,0.06,0.0001,88411,1231,5298
bar → doityourself,bar,doityourself,0.049,0.005,0.83,0.982,0.05,0.0001,2240,469,118
restaurant → clinic,restaurant,clinic,0.03,0.003,0.98,0.989,0.03,0.0001,14682,246,512
camp_site → attraction,camp_site,attraction,0.04,0.005,0.26,0.982,0.05,0.0001,101,1231,5
bar → college,bar,college,0.033,0.003,1.8,0.988,0.03,0.0001,2240,144,77
taxi → veterinary,taxi,veterinary,0.035,0.003,0.86,0.989,0.03,0.0001,202,320,7
memorial → town_hall,memorial,town_hall,0.034,0.004,0.48,0.984,0.04,0.0001,1102,574,39
memorial → theatre,memorial,theatre,0.031,0.004,0.71,0.991,0.04,0.0001,1102,346,39
optician → arts_centre,optician,arts_centre,0.037,0.004,2.07,0.988,0.04,0.0001,776,144,32
pub → sports_centre,pub,sports_centre,0.041,0.004,0.42,0.986,0.04,0.0001,725,779,31
tower → attraction,tower,attraction,0.038,0.004,0.24,0.982,0.04,0.0001,558,1231,23
memorial → picnic_site,memorial,picnic_site,0.045,0.006,0.07,0.974,0.06,0.0001,1102,4863,66
camp_site → kiosk,camp_site,kiosk,0.04,0.004,0.27,0.984,0.04,0.0001,101,1156,4
arts_centre → veterinary,arts_centre,veterinary,0.049,0.005,1.21,0.977,0.05,0.0001,144,320,7
christian_evangelical → veterinary,christian_evangelical,veterinary,0.045,0.004,1.11,0.978,0.04,0.0001,67,320,3
restaurant → sports_centre,restaurant,sports_centre,0.038,0.004,0.39,0.985,0.04,0.0001,14682,779,600
memorial → tram_stop,memorial,tram_stop,0.031,0.007,0.2,0.986,0.07,0.0001,1102,1241,74
guesthouse → jeweller,guesthouse,jeweller,0.035,0.007,0.33,0.985,0.07,0.0001,792,842,52
dentist → outdoor_shop,dentist,outdoor_shop,0.031,0.004,1.75,0.989,0.04,0.0001,645,141,24
dentist → doityourself,dentist,doityourself,0.037,0.004,0.63,0.983,0.04,0.0001,645,469,25
bicycle_shop → mobile_phone_shop,bicycle_shop,mobile_phone_shop,0.041,0.005,0.89,0.987,0.05,0.0001,1276,365,68
wayside_shrine → museum,wayside_shrine,museum,0.032,0.003,0.32,0.984,0.03,0.0001,1014,778,34
butcher → computer_shop,butcher,computer_shop,0.033,0.003,1.23,0.987,0.03,0.0001,724,214,25
bicycle_shop → town_hall,bicycle_shop,town_hall,0.033,0.003,0.46,0.986,0.03,0.0001,1276,574,43
bar → sports_centre,bar,sports_centre,0.053,0.006,0.54,0.979,0.06,0.0001,2240,779,124
butcher → guesthouse,butcher,guesthouse,0.033,0.003,0.33,0.986,0.03,0.0001,724,792,25
dentist → community_centre,dentist,community_centre,0.036,0.004,0.69,0.986,0.04,0.0001,645,410,24
guesthouse → shoe_shop,guesthouse,shoe_shop,0.023,0.005,0.25,0.988,0.05,0.0001,792,710,38
memorial → post_office,memorial,post_office,0.034,0.003,0.2,0.986,0.03,0.0001,1102,1345,38
bicycle_shop → museum,bicycle_shop,museum,0.048,0.006,0.49,0.98,0.06,0.0001,1276,778,77
bench → post_office,bench,post_office,0.036,0.004,0.21,0.986,0.04,0.0001,88411,1345,3218
bicycle_shop → newsagent,bicycle_shop,newsagent,0.034,0.004,1.12,0.988,0.04,0.0001,1276,239,49
memorial → toy_shop,memorial,toy_shop,0.031,0.003,1.13,0.99,0.03,0.0001,1102,218,37
wayside_shrine → hairdresser,wayside_shrine,hairdresser,0.03,0.006,0.05,0.988,0.06,0.0001,1014,4634,58
bicycle_shop → theatre,bicycle_shop,theatre,0.049,0.006,1.12,0.981,0.06,0.0001,1276,346,76
bicycle_shop → memorial,bicycle_shop,memorial,0.034,0.005,0.24,0.989,0.05,0.0001,1276,1102,63
memorial → nightclub,memorial,nightclub,0.031,0.004,0.91,0.991,0.04,0.0001,1102,271,44
jeweller → railway_halt,jeweller,railway_halt,0.03,0.004,0.33,0.99,0.04,0.0001,842,726,32
bench → pub,bench,pub,0.028,0.004,0.3,0.99,0.04,0.0001,88411,725,3628
bicycle_shop → veterinary,bicycle_shop,veterinary,0.034,0.003,0.84,0.985,0.03,0.0001,1276,320,43
memorial → school,memorial,school,0.041,0.004,0.26,0.988,0.04,0.0001,1102,1257,46
guesthouse → optician,guesthouse,optician,0.035,0.005,0.36,0.988,0.05,0.0001,792,776,36
bicycle_shop → railway_station,bicycle_shop,railway_station,0.047,0.005,0.31,0.984,0.05,0.0001,1276,1226,60
bench → gift_shop,bench,gift_shop,0.025,0.004,0.4,0.99,0.04,0.0001,88411,496,3511
bar → car_dealership,bar,car_dealership,0.041,0.005,0.32,0.985,0.05,0.0001,2240,1021,107
optician → veterinary,optician,veterinary,0.035,0.003,0.87,0.987,0.03,0.0001,776,320,27
christian_evangelical → computer_shop,christian_evangelical,computer_shop,0.045,0.004,1.67,0.989,0.04,0.0001,67,214,3
memorial → railway_station,memorial,railway_station,0.044,0.005,0.29,0.979,0.05,0.0001,1102,1226,51
christian_evangelical → chemist,christian_evangelical,chemist,0.03,0.004,0.66,0.994,0.04,0.0001,67,359,3
wayside_shrine → artwork,wayside_shrine,artwork,0.028,0.009,0.07,0.982,0.09,0.0001,1014,3144,90
park → pharmacy,park,pharmacy,0.042,0.005,0.21,0.987,0.05,0.0001,96,1593,5
pub → car_dealership,pub,car_dealership,0.033,0.004,0.26,0.988,0.04,0.0001,725,1021,26
swimming_pool → post_office,swimming_pool,post_office,0.042,0.004,0.25,0.986,0.04,0.0001,143,1345,6
wayside_shrine → picnic_site,wayside_shrine,picnic_site,0.036,0.004,0.06,0.98,0.04,0.0001,1014,4863,38
laundry → outdoor_shop,laundry,outdoor_shop,0.04,0.005,2.24,0.984,0.05,0.0001,428,141,22
railway_halt → pub,railway_halt,pub,0.026,0.004,0.29,0.989,0.04,0.0001,726,725,29
biergarten → railway_halt,biergarten,railway_halt,0.035,0.004,0.38,0.974,0.04,0.0001,57,726,2
biergarten → castle,biergarten,castle,0.035,0.004,0.92,0.973,0.04,0.0001,57,302,2
archaeological → shoe_shop,archaeological,shoe_shop,0.027,0.006,0.3,0.989,0.06,0.0001,441,710,26
pub → hostel,pub,hostel,0.033,0.004,1.42,0.986,0.04,0.0001,725,186,28
restaurant → computer_shop,restaurant,computer_shop,0.04,0.004,1.49,0.984,0.04,0.0001,14682,214,613
restaurant → taxi,restaurant,taxi,0.044,0.005,1.74,0.984,0.05,0.0001,14682,202,691
restaurant → car_dealership,restaurant,car_dealership,0.032,0.004,0.25,0.988,0.04,0.0001,14682,1021,541
laundry → car_dealership,laundry,car_dealership,0.049,0.006,0.38,0.98,0.06,0.0001,428,1021,25
ruins → attraction,ruins,attraction,0.046,0.005,0.3,0.964,0.05,0.0001,239,1231,12
restaurant → department_store,restaurant,department_store,0.034,0.004,1.52,0.987,0.04,0.0001,14682,176,596
biergarten → museum,biergarten,museum,0.035,0.005,0.36,0.977,0.05,0.0001,57,778,3
biergarten → picnic_site,biergarten,picnic_site,0.053,0.005,0.09,0.975,0.05,0.0001,57,4863,3
park → viewpoint,park,viewpoint,0.052,0.005,0.1,0.974,0.05,0.0001,96,4066,5
pub → tower,pub,tower,0.028,0.004,0.39,0.989,0.04,0.0001,725,558,32
biergarten → chemist,biergarten,chemist,0.035,0.004,0.78,0.99,0.04,0.0001,57,359,2
pub → railway_halt,pub,railway_halt,0.034,0.004,0.38,0.986,0.04,0.0001,725,726,29
biergarten → supermarket,biergarten,supermarket,0.035,0.005,0.08,0.99,0.05,0.0001,57,3462,3
archaeological → museum,archaeological,museum,0.043,0.006,0.44,0.974,0.06,0.0001,441,778,26
park → library,park,library,0.052,0.005,0.39,0.983,0.05,0.0001,96,1072,5
alpine_hut → viewpoint,alpine_hut,viewpoint,0.039,0.006,0.08,0.974,0.06,0.0001,281,4066,16
alpine_hut → peak,alpine_hut,peak,0.053,0.005,0.05,0.974,0.05,0.0001,281,8981,15
christian_catholic → tram_stop,christian_catholic,tram_stop,0.036,0.007,0.23,0.987,0.07,0.0001,168,1241,12
restaurant → community_centre,restaurant,community_centre,0.04,0.005,0.79,0.984,0.05,0.0001,14682,410,688
railway_halt → bicycle_rental,railway_halt,bicycle_rental,0.039,0.004,0.33,0.98,0.04,0.0001,726,923,31
christian_catholic → pitch,christian_catholic,pitch,0.036,0.007,0.04,0.982,0.07,0.0001,168,7084,11
restaurant → attraction,restaurant,attraction,0.037,0.005,0.24,0.985,0.05,0.0001,14682,1231,741
restaurant → doityourself,restaurant,doityourself,0.038,0.004,0.64,0.985,0.04,0.0001,14682,469,584
memorial → ferry_terminal,memorial,ferry_terminal,0.032,0.004,0.54,0.988,0.04,0.0001,1102,471,41
pub → department_store,pub,department_store,0.047,0.006,2.12,0.985,0.06,0.0001,725,176,40
christian_catholic → library,christian_catholic,library,0.054,0.005,0.4,0.973,0.05,0.0001,168,1072,9
pub → college,pub,college,0.047,0.005,2.59,0.986,0.05,0.0001,725,144,39
memorial → attraction,memorial,attraction,0.041,0.005,0.26,0.982,0.05,0.0001,1102,1231,59
camp_site → caravan_site,camp_site,caravan_site,0.04,0.004,1.66,0.965,0.04,0.0001,101,190,4
christian_catholic → christian,christian_catholic,christian,0.036,0.005,0.69,0.972,0.05,0.0001,168,413,8
wayside_cross → peak,wayside_cross,peak,0.041,0.004,0.04,0.968,0.04,0.0001,1917,8981,78
taxi → toy_shop,taxi,toy_shop,0.045,0.006,1.63,0.985,0.06,0.0001,202,218,12
pub → clinic,pub,clinic,0.044,0.005,1.43,0.985,0.05,0.0001,725,246,36
christian_catholic → clothes,christian_catholic,clothes,0.036,0.005,0.08,0.991,0.05,0.0001,168,3601,9
wayside_cross → picnic_site,wayside_cross,picnic_site,0.037,0.004,0.06,0.978,0.04,0.0001,1917,4863,79
taxi → attraction,taxi,attraction,0.03,0.006,0.19,0.981,0.06,0.0001,202,1231,12
optician → guesthouse,optician,guesthouse,0.037,0.005,0.38,0.987,0.05,0.0001,776,792,36
stationery → college,stationery,college,0.028,0.004,1.55,0.986,0.04,0.0001,249,144,10
chemist → guesthouse,chemist,guesthouse,0.033,0.004,0.34,0.992,0.04,0.0001,359,792,14
park → ferry_terminal,park,ferry_terminal,0.031,0.006,0.53,0.986,0.06,0.0001,96,471,6
christian_catholic → camera_surveillance,christian_catholic,camera_surveillance,0.036,0.004,0.07,0.987,0.04,0.0001,168,4037,7
taxi → ferry_terminal,taxi,ferry_terminal,0.05,0.005,0.84,0.982,0.05,0.0001,202,471,10
taxi → town_hall,taxi,town_hall,0.035,0.005,0.48,0.989,0.05,0.0001,202,574,10
christian_catholic → attraction,christian_catholic,attraction,0.048,0.006,0.31,0.975,0.06,0.0001,168,1231,10
taxi → outdoor_shop,taxi,outdoor_shop,0.045,0.005,2.51,0.984,0.05,0.0001,202,141,10
biergarten → gift_shop,biergarten,gift_shop,0.035,0.004,0.56,0.993,0.04,0.0001,57,496,2
stationery → car_dealership,stationery,car_dealership,0.04,0.004,0.31,0.984,0.04,0.0001,249,1021,10
camera_surveillance → museum,camera_surveillance,museum,0.046,0.006,0.47,0.983,0.06,0.0001,4037,778,236
water_mill → jeweller,water_mill,jeweller,0.024,0.005,0.23,0.981,0.05,0.0001,41,842,2
cinema → guesthouse,cinema,guesthouse,0.051,0.006,0.52,0.984,0.06,0.0001,234,792,13
cinema → car_dealership,cinema,car_dealership,0.043,0.004,0.33,0.982,0.04,0.0001,234,1021,10
kiosk → car_dealership,kiosk,car_dealership,0.031,0.003,0.24,0.989,0.03,0.0001,1156,1021,40
kiosk → market_place,kiosk,market_place,0.042,0.004,2.41,0.982,0.04,0.0001,1156,140,51
kiosk → newsagent,kiosk,newsagent,0.042,0.005,1.41,0.986,0.05,0.0001,1156,239,59
public_building → railway_station,public_building,railway_station,0.037,0.004,0.24,0.984,0.04,0.0001,27,1226,1
public_building → community_centre,public_building,community_centre,0.037,0.004,0.72,0.965,0.04,0.0001,27,410,1
kiosk → clinic,kiosk,clinic,0.048,0.005,1.54,0.982,0.05,0.0001,1156,246,63
water_mill → shoe_shop,water_mill,shoe_shop,0.024,0.005,0.27,0.993,0.05,0.0001,41,710,2
kiosk → outdoor_shop,kiosk,outdoor_shop,0.034,0.004,1.9,0.986,0.04,0.0001,1156,141,46
railway_station → bookshop,railway_station,bookshop,0.034,0.004,0.63,0.986,0.04,0.0001,1226,436,52
public_building → christian_catholic,public_building,christian_catholic,0.037,0.004,1.75,0.975,0.04,0.0001,27,168,1
kiosk → car_rental,kiosk,car_rental,0.031,0.005,0.86,0.987,0.05,0.0001,1156,287,55
kiosk → christian,kiosk,christian,0.034,0.004,0.65,0.988,0.04,0.0001,1156,413,41
public_building → tower,public_building,tower,0.037,0.004,0.53,0.99,0.04,0.0001,27,558,1
public_building → jeweller,public_building,jeweller,0.037,0.004,0.35,0.988,0.04,0.0001,27,842,1
hospital → bar,hospital,bar,0.042,0.004,0.15,0.999,0.04,0.0001,24,2240,1
railway_station → bicycle_shop,railway_station,bicycle_shop,0.046,0.005,0.29,0.984,0.05,0.0001,1226,1276,60
nursing_home → picnic_site,nursing_home,picnic_site,0.042,0.004,0.07,0.974,0.04,0.0001,48,4863,2
hospital → railway_halt,hospital,railway_halt,0.042,0.004,0.46,0.971,0.04,0.0001,24,726,1
cinema → market_place,cinema,market_place,0.038,0.004,2.19,0.987,0.04,0.0001,234,140,9
gift_shop → monument,gift_shop,monument,0.03,0.007,1.03,0.986,0.07,0.0001,496,233,34
water_mill → dentist,water_mill,dentist,0.049,0.005,0.6,0.975,0.05,0.0001,41,645,2
picnic_site → artwork,picnic_site,artwork,0.024,0.004,0.06,0.987,0.04,0.0001,4863,3144,205
picnic_site → restaurant,picnic_site,restaurant,0.035,0.005,0.04,0.987,0.05,0.0001,4863,14682,233
cinema → kindergarten,cinema,kindergarten,0.051,0.006,0.31,0.988,0.06,0.0001,234,1337,13
mobile_phone_shop → community_centre,mobile_phone_shop,community_centre,0.036,0.005,0.69,0.992,0.05,0.0001,365,410,18
picnic_site → pitch,picnic_site,pitch,0.03,0.005,0.03,0.983,0.05,0.0001,4863,7084,223
mobile_phone_shop → town_hall,mobile_phone_shop,town_hall,0.036,0.004,0.49,0.987,0.04,0.0001,365,574,14
gift_shop → sports_centre,gift_shop,sports_centre,0.034,0.003,0.35,0.988,0.03,0.0001,496,779,17
gift_shop → ferry_terminal,gift_shop,ferry_terminal,0.03,0.003,0.51,0.989,0.03,0.0001,496,471,17
public_building → bicycle_shop,public_building,bicycle_shop,0.037,0.004,0.23,0.989,0.04,0.0001,27,1276,1
cinema → railway_halt,cinema,railway_halt,0.034,0.004,0.37,0.987,0.04,0.0001,234,726,9
gift_shop → car_rental,gift_shop,car_rental,0.026,0.004,0.73,0.991,0.04,0.0001,496,287,21
mobile_phone_shop → bus_station,mobile_phone_shop,bus_station,0.033,0.003,3.29,0.991,0.03,0.0001,365,55,12
school → furniture_shop,school,furniture_shop,0.033,0.004,0.47,0.989,0.04,0.0001,1257,562,51
gift_shop → railway_halt,gift_shop,railway_halt,0.05,0.005,0.55,0.983,0.05,0.0001,496,726,25
cinema → town_hall,cinema,town_hall,0.047,0.005,0.65,0.984,0.05,0.0001,234,574,11
mobile_phone_shop → greengrocer,mobile_phone_shop,greengrocer,0.038,0.004,3.21,0.983,0.04,0.0001,365,95,14
cinema → outdoor_shop,cinema,outdoor_shop,0.047,0.006,2.65,0.98,0.06,0.0001,234,141,13
mobile_phone_shop → sports_centre,mobile_phone_shop,sports_centre,0.033,0.003,0.34,0.991,0.03,0.0001,365,779,12
cinema → university,cinema,university,0.021,0.005,1.53,0.994,0.05,0.0001,234,111,12
railway_station → mobile_phone_shop,railway_station,mobile_phone_shop,0.027,0.005,0.59,0.988,0.05,0.0001,1226,365,59
cinema → arts_centre,cinema,arts_centre,0.043,0.006,2.36,0.973,0.06,0.0001,234,144,13
kiosk → sports_centre,kiosk,sports_centre,0.048,0.005,0.49,0.983,0.05,0.0001,1156,779,57
cave_entrance → castle,cave_entrance,castle,0.027,0.004,0.71,0.985,0.04,0.0001,560,302,21
mobile_phone_shop → car_dealership,mobile_phone_shop,car_dealership,0.041,0.004,0.32,0.987,0.04,0.0001,365,1021,15
public_building → veterinary,public_building,veterinary,0.037,0.007,0.92,0.981,0.07,0.0001,27,320,2
railway_station → tram_stop,railway_station,tram_stop,0.03,0.008,0.19,0.982,0.08,0.0001,1226,1241,99
town_hall → bicycle_rental,town_hall,bicycle_rental,0.051,0.006,0.44,0.971,0.06,0.0001,574,923,33
sports_centre → community_centre,sports_centre,community_centre,0.039,0.004,0.75,0.983,0.04,0.0001,779,410,32
hospital → theatre,hospital,theatre,0.042,0.004,0.96,0.988,0.04,0.0001,24,346,1
town_hall → theatre,town_hall,theatre,0.04,0.004,0.92,0.982,0.04,0.0001,574,346,25
nursing_home → railway_station,nursing_home,railway_station,0.042,0.004,0.27,0.986,0.04,0.0001,48,1226,2
nursing_home → kindergarten,nursing_home,kindergarten,0.042,0.004,0.25,0.985,0.04,0.0001,48,1337,2
town_hall → guesthouse,town_hall,guesthouse,0.033,0.004,0.33,0.99,0.04,0.0001,574,792,22
town_hall → furniture_shop,town_hall,furniture_shop,0.035,0.004,0.49,0.987,0.04,0.0001,574,562,24
water_mill → hairdresser,water_mill,hairdresser,0.024,0.007,0.04,0.992,0.07,0.0001,41,4634,3
kiosk → town_hall,kiosk,town_hall,0.042,0.005,0.58,0.983,0.05,0.0001,1156,574,53
town_hall → travel_agent,town_hall,travel_agent,0.042,0.005,0.72,0.983,0.05,0.0001,574,460,31
hospital → viewpoint,hospital,viewpoint,0.042,0.004,0.08,0.998,0.04,0.0001,24,4066,1
nursing_home → museum,nursing_home,museum,0.042,0.004,0.43,0.981,0.04,0.0001,48,778,2
sports_centre → theatre,sports_centre,theatre,0.035,0.004,0.8,0.988,0.04,0.0001,779,346,32
sports_centre → picnic_site,sports_centre,picnic_site,0.033,0.004,0.05,0.984,0.04,0.0001,779,4863,34
hospital → kindergarten,hospital,kindergarten,0.042,0.004,0.25,0.985,0.04,0.0001,24,1337,1
hospital → kiosk,hospital,kiosk,0.042,0.004,0.29,0.999,0.04,0.0001,24,1156,1
sports_centre → optician,sports_centre,optician,0.03,0.004,0.3,0.989,0.04,0.0001,779,776,32
hospital → bicycle_rental,hospital,bicycle_rental,0.042,0.004,0.36,0.986,0.04,0.0001,24,923,1
nursing_home → bar,nursing_home,bar,0.021,0.008,0.07,0.991,0.08,0.0001,48,2240,4
nursing_home → convenience,nursing_home,convenience,0.042,0.006,0.12,0.983,0.06,0.0001,48,2695,3
kiosk → community_centre,kiosk,community_centre,0.05,0.006,0.97,0.982,0.06,0.0001,1156,410,67
kiosk → nightclub,kiosk,nightclub,0.036,0.005,1.07,0.985,0.05,0.0001,1156,271,58
cave_entrance → restaurant,cave_entrance,restaurant,0.03,0.003,0.03,0.99,0.03,0.0001,560,14682,19
public_building → bicycle_rental,public_building,bicycle_rental,0.037,0.004,0.32,0.98,0.04,0.0001,27,923,1
cave_entrance → attraction,cave_entrance,attraction,0.032,0.004,0.21,0.974,0.04,0.0001,560,1231,21
cave_entrance → peak,cave_entrance,peak,0.05,0.006,0.05,0.978,0.06,0.0001,560,8981,31
kiosk → veterinary,kiosk,veterinary,0.043,0.004,1.08,0.985,0.04,0.0001,1156,320,50
town_hall → sports_shop,town_hall,sports_shop,0.042,0.006,0.38,0.979,0.06,0.0001,574,868,32
kiosk → railway_halt,kiosk,railway_halt,0.032,0.004,0.35,0.985,0.04,0.0001,1156,726,42
water_mill → clothes,water_mill,clothes,0.049,0.005,0.11,0.985,0.05,0.0001,41,3601,2
railway_station → travel_agent,railway_station,travel_agent,0.042,0.006,0.73,0.981,0.06,0.0001,1226,460,73
town_hall → stationery,town_hall,stationery,0.044,0.005,1.39,0.982,0.05,0.0001,574,249,27
hospital → bicycle_shop,hospital,bicycle_shop,0.042,0.004,0.26,0.962,0.04,0.0001,24,1276,1
sports_centre → post_office,sports_centre,post_office,0.041,0.004,0.24,0.987,0.04,0.0001,779,1345,32
kiosk → viewpoint,kiosk,viewpoint,0.043,0.006,0.08,0.984,0.06,0.0001,1156,4066,65
town_hall → market_place,town_hall,market_place,0.038,0.004,2.18,0.982,0.04,0.0001,574,140,24
nursing_home → memorial,nursing_home,memorial,0.042,0.004,0.3,0.981,0.04,0.0001,48,1102,2
camera_surveillance → attraction,camera_surveillance,attraction,0.027,0.004,0.17,0.989,0.04,0.0001,4037,1231,161
nursing_home → beauty_shop,nursing_home,beauty_shop,0.042,0.004,0.26,0.987,0.04,0.0001,48,1258,2
public_building → muslim,public_building,muslim,0.037,0.004,3.7,0.987,0.04,0.0001,27,35,1
nursing_home → theatre,nursing_home,theatre,0.042,0.004,0.96,0.974,0.04,0.0001,48,346,2
kiosk → food_court,kiosk,food_court,0.043,0.006,4.33,0.978,0.06,0.0001,1156,75,69
school → theatre,school,theatre,0.029,0.004,0.66,0.988,0.04,0.0001,1257,346,46
school → community_centre,school,community_centre,0.036,0.004,0.69,0.983,0.04,0.0001,1257,410,53
water_mill → library,water_mill,library,0.049,0.005,0.36,0.984,0.05,0.0001,41,1072,2
mall → college,mall,college,0.047,0.005,2.57,0.992,0.05,0.0001,43,144,2
theme_park → viewpoint,theme_park,viewpoint,0.048,0.005,0.09,0.955,0.05,0.0001,21,4066,1
playground → library,playground,library,0.036,0.004,0.26,0.987,0.04,0.0001,4069,1072,151
theme_park → playground,theme_park,playground,0.048,0.005,0.09,0.96,0.05,0.0001,21,4069,1
university → sports_shop,university,sports_shop,0.054,0.005,0.5,0.993,0.05,0.0001,111,868,6
theme_park → travel_agent,theme_park,travel_agent,0.048,0.005,0.82,0.969,0.05,0.0001,21,460,1
theme_park → bookshop,theme_park,bookshop,0.048,0.005,0.87,0.996,0.05,0.0001,21,436,1
theme_park → mobile_phone_shop,theme_park,mobile_phone_shop,0.048,0.005,1.04,0.992,0.05,0.0001,21,365,1
playground → bicycle_shop,playground,bicycle_shop,0.034,0.004,0.21,0.99,0.04,0.0001,4069,1276,152
hairdresser → veterinary,hairdresser,veterinary,0.045,0.005,1.12,0.982,0.05,0.0001,4634,320,213
hospital → veterinary,hospital,veterinary,0.042,0.004,1.04,0.988,0.04,0.0001,24,320,1
university → newsagent,university,newsagent,0.045,0.005,1.5,0.984,0.05,0.0001,111,239,6
hotel → clinic,hotel,clinic,0.03,0.003,0.96,0.988,0.03,0.0001,2489,246,87
university → dentist,university,dentist,0.045,0.005,0.56,0.984,0.05,0.0001,111,645,5
university → florist,university,florist,0.036,0.005,0.3,0.989,0.05,0.0001,111,953,5
hotel → theatre,hotel,theatre,0.042,0.005,0.96,0.984,0.05,0.0001,2489,346,120
track → hotel,track,hotel,0.037,0.004,0.12,0.971,0.04,0.0001,27,2489,1
track → fast_food,track,fast_food,0.037,0.004,0.11,0.978,0.04,0.0001,27,2688,1
