rule,premise,conclusion,support,confidence,lift,avg_distance_norm,avg_cardinality,score,premise_count,conclusion_count,co_occurrences
ferry_terminal → tree,ferry_terminal,tree,0.461,0.898,0.46,0.717,8.98,0.2655,471,899340,4231
nightclub → restaurant,nightclub,restaurant,0.749,0.464,0.75,0.478,4.64,0.2644,271,14682,1257
dog_park → tree,dog_park,tree,0.417,1.0,0.42,0.742,13.0,0.262,12,899340,156
stationery → bench,stationery,bench,0.711,0.535,0.71,0.651,5.35,0.2566,249,88411,1333
toy_shop → restaurant,toy_shop,restaurant,0.775,0.442,0.78,0.504,4.42,0.2561,218,14682,963
garden_centre → tree,garden_centre,tree,0.412,1.0,0.41,0.758,11.52,0.2558,153,899340,1762
nursing_home → tree,nursing_home,tree,0.417,1.0,0.42,0.774,10.6,0.2554,48,899340,509
motel → tree,motel,tree,0.407,1.0,0.41,0.748,11.81,0.255,27,899340,319
christian → tree,christian,tree,0.407,1.0,0.41,0.756,13.59,0.253,413,899340,5614
jeweller → hairdresser,jeweller,hairdresser,0.856,0.376,1.47,0.436,3.76,0.2519,842,4634,3167
fast_food → bench,fast_food,bench,0.68,0.549,0.68,0.65,5.49,0.2519,2688,88411,14756
beauty_shop → restaurant,beauty_shop,restaurant,0.819,0.399,0.82,0.471,3.99,0.2496,1258,14682,5015
stationery → clothes,stationery,clothes,0.671,0.508,1.48,0.539,5.08,0.249,249,3601,1266
newsagent → restaurant,newsagent,restaurant,0.862,0.37,0.86,0.449,3.7,0.2473,239,14682,884
college → bench,college,bench,0.667,0.561,0.67,0.679,5.61,0.2471,144,88411,808
outdoor_shop → restaurant,outdoor_shop,restaurant,0.738,0.448,0.74,0.534,4.48,0.2423,141,14682,632
mobile_phone_shop → bench,mobile_phone_shop,bench,0.647,0.56,0.65,0.665,5.6,0.2417,365,88411,2044
hairdresser → bench,hairdresser,bench,0.691,0.519,0.69,0.655,5.19,0.2414,4634,88411,24057
kiosk → bench,kiosk,bench,0.662,0.502,0.66,0.613,5.02,0.2306,1156,88411,5806
taxi → bus_stop,taxi,bus_stop,0.817,0.365,0.82,0.455,3.65,0.2306,202,36434,738
theatre → bench,theatre,bench,0.679,0.501,0.68,0.663,5.01,0.2276,346,88411,1735
camera_surveillance → bench,camera_surveillance,bench,0.623,0.546,0.62,0.668,5.46,0.2266,4037,88411,22050
lighthouse → tree,lighthouse,tree,0.583,0.625,0.58,0.769,6.25,0.2244,12,899340,75
hairdresser → restaurant,hairdresser,restaurant,0.792,0.373,0.79,0.488,3.73,0.2234,4634,14682,17284
railway_halt → tree,railway_halt,tree,0.421,0.84,0.42,0.739,8.4,0.2233,726,899340,6102
memorial → bench,memorial,bench,0.624,0.489,0.62,0.541,4.89,0.2227,1102,88411,5388
